typo;typo_min;typvoie;prevoie;nomvoie;dico
RUE EMILE CHAINE;rue Émile Chaine;rue;;Émile Chaine;2000_PARIS
PLACE EMILE MALE;place Émile Mâle;place;;Émile Mâle;2000_PARIS
RUE MONTE CRISTO;rue Monte Cristo;rue;;Monte Cristo;2000_PARIS
RUE JACQUES HILLAIRET;rue Jacques Hillairet;rue;;Jacques Hillairet;2000_PARIS
RUE JARRY;rue Jarry;rue;;Jarry;2000_PARIS
VOIE BO/18;voie BO/18;voie;;BO/18;2000_PARIS
PASSAGE VERITE;passage Vérité;passage;;Vérité;2000_PARIS
CHEMIN DE CEINTURE DU LAC SUPERIEUR;chemin de Ceinture du Lac Supérieur;chemin;de;Ceinture du Lac Supérieur;2000_PARIS
AVENUE DU MAHATMA GANDHI;avenue du Mahatma Gandhi;avenue;du;Mahatma Gandhi;2000_PARIS
RUE DU GENERAL BEURET;rue du Général Beuret;rue;du;Général Beuret;2000_PARIS
RUE EDOUARD MANET;rue Édouard Manet;rue;;Édouard Manet;2000_PARIS
PASSAGE DE LA FOLIE-REGNAULT;passage de la Folie-Regnault;passage;de la;Folie-Regnault;2000_PARIS
CITE DUPLAN;cité Duplan;cité;;Duplan;2000_PARIS
RUE EUGENIE LEGRAND;rue Eugénie Legrand;rue;;Eugénie Legrand;2000_PARIS
RUE FRANCOEUR;rue Francoeur;rue;;Francoeur;2000_PARIS
RUE RAMUS;rue Ramus;rue;;Ramus;2000_PARIS
RUE SEGUIER;rue Séguier;rue;;Séguier;2000_PARIS
PLACE DU PRESIDENT EDOUARD HERRIOT;place du Président Édouard Herriot;place;du;Président Édouard Herriot;2000_PARIS
RUE DE PRESBOURG;rue de Presbourg;rue;de;Presbourg;2000_PARIS
IMPASSE RACINE;impasse Racine;impasse;;Racine;2000_PARIS
RUE EDOUARD ROBERT;rue Édouard Robert;rue;;Édouard Robert;2000_PARIS
RUE DE QUATREFAGES;rue de Quatrefages;rue;de;Quatrefages;2000_PARIS
RUE DU PROFESSEUR HYACINTHE VINCENT;rue du Professeur Hyacinthe Vincent;rue;du;Professeur Hyacinthe Vincent;2000_PARIS
RUE SINGER;rue Singer;rue;;Singer;2000_PARIS
RUE RAFFAELLI;rue Raffaëlli;rue;;Raffaëlli;2000_PARIS
IMPASSE DES PRETRES;impasse des Prêtres;impasse;des;Prêtres;2000_PARIS
RUE DE SOLFERINO;rue de Solférino;rue;de;Solférino;2000_PARIS
IMPASSE RAFFET;impasse Raffet;impasse;;Raffet;2000_PARIS
